date,name,ticker,amount,type
01/30/2014,Susan M Collins,REGN,"$1,001 - $15,000",Sale (Partial)
01/30/2014,Susan M Collins,CELG,"$1,001 - $15,000",Sale (Partial)
01/30/2014,Susan M Collins,GM,"$1,001 - $15,000",Sale (Partial)
01/30/2014,Susan M Collins,MSFT,"$1,001 - $15,000",Purchase
01/30/2014,Susan M Collins,HON,"$1,001 - $15,000",Purchase
01/30/2014,Susan M Collins,CVS,"$1,001 - $15,000",Purchase
02/04/2014,Susan M Collins,BA,"$1,001 - $15,000",Sale (Partial)
02/04/2014,Susan M Collins,FB,"$1,001 - $15,000",Purchase
02/04/2014,Susan M Collins,CP,"$1,001 - $15,000",Purchase
01/31/2014,Susan M Collins,GE,"$1,001 - $15,000",Sale (Partial)
02/07/2014,Susan M Collins,BA,"$1,001 - $15,000",Sale (Partial)
02/06/2014,Susan M Collins,CVX,"$1,001 - $15,000",Sale (Partial)
02/06/2014,Susan M Collins,MCK,"$1,001 - $15,000",Purchase
02/06/2014,Susan M Collins,MSFT,"$1,001 - $15,000",Purchase
02/06/2014,Susan M Collins,HON,"$1,001 - $15,000",Purchase
02/06/2014,Susan M Collins,CMCSA,"$1,001 - $15,000",Purchase
02/12/2014,Susan M Collins,LNKD,"$1,001 - $15,000",Sale (Partial)
02/11/2014,Susan M Collins,NWSA,"$1,001 - $15,000",Sale (Partial)
02/11/2014,Susan M Collins,CRM,"$1,001 - $15,000",Purchase
02/13/2014,Susan M Collins,MCK,"$1,001 - $15,000",Purchase
02/19/2014,Susan M Collins,FB,"$1,001 - $15,000",Purchase
02/20/2014,Susan M Collins,AIG,"$1,001 - $15,000",Sale (Partial)
02/06/2014,Rafael E Cruz,BFK,"$15,001 - $50,000",Purchase
02/21/2014,Rafael E Cruz,EPD,"$50,001 - $100,000",Purchase
01/31/2014,Sheldon Whitehouse,CLX,"$15,001 - $50,000",Sale (Full)
02/10/2014,Sheldon Whitehouse,AAPL,"$15,001 - $50,000",Sale (Partial)
02/10/2014,Sheldon Whitehouse,EMR,"$1,001 - $15,000",Sale (Full)
02/10/2014,Sheldon Whitehouse,GIS,"$15,001 - $50,000",Sale (Full)
02/10/2014,Sheldon Whitehouse,NSRGY,"$15,001 - $50,000",Sale (Partial)
01/29/2014,Sheldon Whitehouse,BA,"$15,001 - $50,000",Sale (Full)
01/29/2014,Sheldon Whitehouse,SYMC,"$15,001 - $50,000",Sale (Full)
02/10/2014,Sheldon Whitehouse,V,"$15,001 - $50,000",Purchase
02/10/2014,Sheldon Whitehouse,NEE,"$15,001 - $50,000",Purchase
02/10/2014,Sheldon Whitehouse,CMRE,"$15,001 - $50,000",Purchase
01/29/2014,Sheldon Whitehouse,LNKD,"$1,001 - $15,000",Purchase
01/31/2014,Sheldon Whitehouse,MO,"$1,001 - $15,000",Purchase
01/31/2014,Sheldon Whitehouse,LOW,"$1,001 - $15,000",Purchase
02/26/2014,Susan M Collins,ESRX,"$1,001 - $15,000",Sale (Partial)
02/26/2014,Susan M Collins,RHT,"$1,001 - $15,000",Purchase
02/26/2014,Susan M Collins,MCK,"$1,001 - $15,000",Purchase
02/21/2014,John F Reed,VOD,"$1,001 - $15,000",Sale (Full)
02/21/2014,Thomas R Carper,SJR,"$1,001 - $15,000",Purchase
02/27/2014,Thomas R Carper,EC,"$1,001 - $15,000",Sale (Full)
02/27/2014,Thomas R Carper,RIG,"$1,001 - $15,000",Purchase
02/19/2014,John Hoeven,IBM,"$50,001 - $100,000",Purchase
