,date,name,ticker,amount,type
0,01/30/2014,Susan M Collins,REGN,"$1,001 - $15,000",Sale (Partial)
1,01/30/2014,Susan M Collins,CELG,"$1,001 - $15,000",Sale (Partial)
2,01/30/2014,Susan M Collins,GM,"$1,001 - $15,000",Sale (Partial)
3,01/30/2014,Susan M Collins,MSFT,"$1,001 - $15,000",Purchase
4,01/30/2014,Susan M Collins,HON,"$1,001 - $15,000",Purchase
5,01/30/2014,Susan M Collins,CVS,"$1,001 - $15,000",Purchase
6,02/04/2014,Susan M Collins,BA,"$1,001 - $15,000",Sale (Partial)
7,02/04/2014,Susan M Collins,FB,"$1,001 - $15,000",Purchase
8,02/04/2014,Susan M Collins,CP,"$1,001 - $15,000",Purchase
9,01/31/2014,Susan M Collins,GE,"$1,001 - $15,000",Sale (Partial)
10,02/07/2014,Susan M Collins,BA,"$1,001 - $15,000",Sale (Partial)
11,02/06/2014,Susan M Collins,CVX,"$1,001 - $15,000",Sale (Partial)
12,02/06/2014,Susan M Collins,MCK,"$1,001 - $15,000",Purchase
13,02/06/2014,Susan M Collins,MSFT,"$1,001 - $15,000",Purchase
14,02/06/2014,Susan M Collins,HON,"$1,001 - $15,000",Purchase
15,02/06/2014,Susan M Collins,CMCSA,"$1,001 - $15,000",Purchase
16,02/12/2014,Susan M Collins,LNKD,"$1,001 - $15,000",Sale (Partial)
17,02/11/2014,Susan M Collins,NWSA,"$1,001 - $15,000",Sale (Partial)
18,02/11/2014,Susan M Collins,CRM,"$1,001 - $15,000",Purchase
19,02/13/2014,Susan M Collins,MCK,"$1,001 - $15,000",Purchase
20,02/19/2014,Susan M Collins,FB,"$1,001 - $15,000",Purchase
21,02/20/2014,Susan M Collins,AIG,"$1,001 - $15,000",Sale (Partial)
22,02/06/2014,Rafael E Cruz,BFK,"$15,001 - $50,000",Purchase
23,02/21/2014,Rafael E Cruz,EPD,"$50,001 - $100,000",Purchase
24,01/31/2014,Sheldon Whitehouse,CLX,"$15,001 - $50,000",Sale (Full)
25,02/10/2014,Sheldon Whitehouse,AAPL,"$15,001 - $50,000",Sale (Partial)
26,02/10/2014,Sheldon Whitehouse,EMR,"$1,001 - $15,000",Sale (Full)
27,02/10/2014,Sheldon Whitehouse,GIS,"$15,001 - $50,000",Sale (Full)
28,02/10/2014,Sheldon Whitehouse,NSRGY,"$15,001 - $50,000",Sale (Partial)
29,01/29/2014,Sheldon Whitehouse,BA,"$15,001 - $50,000",Sale (Full)
30,01/29/2014,Sheldon Whitehouse,SYMC,"$15,001 - $50,000",Sale (Full)
31,02/10/2014,Sheldon Whitehouse,V,"$15,001 - $50,000",Purchase
32,02/10/2014,Sheldon Whitehouse,NEE,"$15,001 - $50,000",Purchase
33,02/10/2014,Sheldon Whitehouse,CMRE,"$15,001 - $50,000",Purchase
34,01/29/2014,Sheldon Whitehouse,LNKD,"$1,001 - $15,000",Purchase
35,01/31/2014,Sheldon Whitehouse,MO,"$1,001 - $15,000",Purchase
36,01/31/2014,Sheldon Whitehouse,LOW,"$1,001 - $15,000",Purchase
37,02/26/2014,Susan M Collins,ESRX,"$1,001 - $15,000",Sale (Partial)
38,02/26/2014,Susan M Collins,RHT,"$1,001 - $15,000",Purchase
39,02/26/2014,Susan M Collins,MCK,"$1,001 - $15,000",Purchase
40,02/21/2014,John F Reed,VOD,"$1,001 - $15,000",Sale (Full)
41,02/21/2014,Thomas R Carper,SJR,"$1,001 - $15,000",Purchase
42,02/27/2014,Thomas R Carper,EC,"$1,001 - $15,000",Sale (Full)
43,02/27/2014,Thomas R Carper,RIG,"$1,001 - $15,000",Purchase
44,02/19/2014,John Hoeven,IBM,"$50,001 - $100,000",Purchase
45,02/19/2014,John Hoeven,VFC,"$50,001 - $100,000",Purchase
46,02/19/2014,John Hoeven,CTSH,"$50,001 - $100,000",Purchase
47,03/12/2014,Susan M Collins,NWL,"$1,001 - $15,000",Sale (Partial)
48,03/11/2014,Susan M Collins,ACE,"$1,001 - $15,000",Sale (Partial)
49,03/11/2014,Susan M Collins,VRX,"$1,001 - $15,000",Purchase
50,03/07/2014,Susan M Collins,FB,"$1,001 - $15,000",Purchase
51,03/07/2014,Susan M Collins,SLB,"$1,001 - $15,000",Purchase
52,03/07/2014,Susan M Collins,GE,"$1,001 - $15,000",Sale (Partial)
53,03/04/2014,Susan M Collins,RHT,"$1,001 - $15,000",Purchase
54,03/18/2014,Susan M Collins,AIG,"$1,001 - $15,000",Sale (Partial)
55,03/19/2014,Susan M Collins,BA,"$1,001 - $15,000",Purchase
56,03/19/2014,Susan M Collins,CRM,"$1,001 - $15,000",Sale (Partial)
57,03/14/2014,Susan M Collins,AEP,"$1,001 - $15,000",Sale (Partial)
58,03/13/2014,Sheldon Whitehouse,JPJQL,"$15,001 - $50,000",Purchase
59,03/13/2014,Sheldon Whitehouse,CLX,"$1,001 - $15,000",Sale (Full)
60,03/13/2014,Sheldon Whitehouse,GE,"$1,001 - $15,000",Sale (Partial)
61,03/13/2014,Sheldon Whitehouse,AAPL,"$1,001 - $15,000",Sale (Partial)
62,03/13/2014,Sheldon Whitehouse,KO,"$1,001 - $15,000",Sale (Partial)
63,03/13/2014,Sheldon Whitehouse,VFC,"$1,001 - $15,000",Sale (Partial)
64,02/19/2014,Sheldon Whitehouse,ORCL,"$1,001 - $15,000",Purchase
65,02/19/2014,Sheldon Whitehouse,VAR,"$15,001 - $50,000",Sale (Full)
66,02/19/2014,Sheldon Whitehouse,TWX,"$1,001 - $15,000",Purchase
67,02/19/2014,Sheldon Whitehouse,JPM,"$1,001 - $15,000",Purchase
68,03/13/2014,Sheldon Whitehouse,VFC,"$1,001 - $15,000",Sale (Partial)
69,03/13/2014,Sheldon Whitehouse,BEAV,"$15,001 - $50,000",Purchase
70,02/25/2014,Sheldon Whitehouse,DHR,"$1,001 - $15,000",Sale (Partial)
71,02/25/2014,Sheldon Whitehouse,PANW,"$1,001 - $15,000",Purchase
72,02/25/2014,Sheldon Whitehouse,QLIK,"$1,001 - $15,000",Purchase
73,02/19/2014,Sheldon Whitehouse,V,"$15,001 - $50,000",Purchase
74,02/19/2014,Sheldon Whitehouse,EL,"$1,001 - $15,000",Purchase
75,02/19/2014,Sheldon Whitehouse,ACE,"$1,001 - $15,000",Purchase
