,date,name,ticker,amount,type
0,03/18/2015,John Hoeven,PRPFX,"$15,001 - $50,000",Sale (Partial)
1,03/20/2015,John Hoeven,MDU,"$100,001 - $250,000",Purchase
2,03/26/2015,Patrick J Toomey,PFS,"$15,001 - $50,000",Sale (Partial)
3,03/25/2015,Patrick J Toomey,PFS,"$15,001 - $50,000",Sale (Partial)
4,03/19/2015,Patrick J Toomey,CVX,"$15,001 - $50,000",Sale (Partial)
5,10/30/2014,Patrick J Toomey,PFS,"$50,001 - $100,000",Sale (Full)
6,10/01/2014,Patrick J Toomey,VIXY,"$15,001 - $50,000",Sale (Full)
7,09/04/2014,Patrick J Toomey,IJH,"$1,001 - $15,000",Sale (Partial)
8,09/04/2014,Patrick J Toomey,RSP,"$1,001 - $15,000",Purchase
9,09/02/2014,Patrick J Toomey,IDV,"$15,001 - $50,000",Sale (Partial)
10,09/02/2014,Patrick J Toomey,IXP,"$15,001 - $50,000",Purchase
11,09/02/2014,Patrick J Toomey,SDY,"$15,001 - $50,000",Purchase
12,09/02/2014,Patrick J Toomey,AMLP,"$1,001 - $15,000",Purchase
13,09/02/2014,Patrick J Toomey,DWX,"$15,001 - $50,000",Sale (Partial)
14,09/02/2014,Patrick J Toomey,ILF,"$1,001 - $15,000",Purchase
15,09/02/2014,Patrick J Toomey,EPP,"$1,001 - $15,000",Sale (Partial)
16,08/07/2014,Patrick J Toomey,LGP,"$15,001 - $50,000",Sale (Full)
17,06/24/2014,Patrick J Toomey,AMLP,"$15,001 - $50,000",Purchase
18,06/12/2014,Patrick J Toomey,DBP,"$15,001 - $50,000",Purchase
19,06/12/2014,Patrick J Toomey,VIXY,"$15,001 - $50,000",Purchase
20,06/12/2014,Patrick J Toomey,PFS,"$250,001 - $500,000",Exchange
21,06/11/2014,Patrick J Toomey,LGP,"$15,001 - $50,000",Purchase
22,06/05/2014,Patrick J Toomey,GLD,"$1,001 - $15,000",Sale (Partial)
23,06/05/2014,Patrick J Toomey,PPL,"$15,001 - $50,000",Sale (Partial)
24,03/25/2015,Pat Roberts,AAPL,"$1,001 - $15,000",Purchase
25,04/07/2015,Sheldon Whitehouse,GILD,"$1,001 - $15,000",Purchase
26,04/07/2015,Sheldon Whitehouse,BIIB,"$1,001 - $15,000",Purchase
27,04/07/2015,Sheldon Whitehouse,NFLX,"$1,001 - $15,000",Purchase
28,04/06/2015,Sheldon Whitehouse,SSYS,"$1,001 - $15,000",Sale (Full)
29,04/07/2015,Sheldon Whitehouse,GILD,"$1,001 - $15,000",Purchase
30,04/06/2015,Sheldon Whitehouse,ACN,"$15,001 - $50,000",Sale (Full)
31,04/07/2015,Sheldon Whitehouse,BABA,"$15,001 - $50,000",Sale (Full)
32,04/07/2015,Sheldon Whitehouse,HD,"$15,001 - $50,000",Sale (Partial)
33,04/13/2015,Sheldon Whitehouse,UA,"$1,001 - $15,000",Purchase
34,04/22/2015,Thomas R Carper,AAPL,"$1,001 - $15,000",Purchase
35,04/14/2015,Gary C Peters,KRFT,"$1,001 - $15,000",Sale (Full)
36,04/14/2015,Gary C Peters,DTE,"$1,001 - $15,000",Purchase
37,04/14/2015,Gary C Peters,QCOM,"$1,001 - $15,000",Purchase
38,04/14/2015,Gary C Peters,EMR,"$1,001 - $15,000",Purchase
39,04/23/2015,John F Reed,MSFT,"$1,001 - $15,000",Purchase
40,04/23/2015,John F Reed,FEYE,"$1,001 - $15,000",Purchase
41,04/23/2015,John F Reed,ESRX,"$1,001 - $15,000",Purchase
