,date,name,ticker,amount,type
0,11/10/2025,Markwayne Mullin,COF,"$50,001 - $100,000",Purchase
1,11/10/2025,Markwayne Mullin,CSX,"$15,001 - $50,000",Sale (Full)
2,11/10/2025,Markwayne Mullin,ZTS,"$15,001 - $50,000",Sale (Full)
3,11/10/2025,Markwayne Mullin,PNR,"$15,001 - $50,000",Purchase
4,11/14/2025,Gary C Peters,CAG,"$1,001 - $15,000",Purchase
5,11/13/2025,Shelley M Capito,META,"$1,001 - $15,000",Purchase
6,11/13/2025,Shelley M Capito,PAYX,"$1,001 - $15,000",Sale (Partial)
7,11/13/2025,Shelley M Capito,LOW,"$1,001 - $15,000",Sale (Partial)
8,11/21/2025,Sheldon Whitehouse,GH,"$1,001 - $15,000",Purchase
9,11/21/2025,Sheldon Whitehouse,KO,"$1,001 - $15,000",Purchase
10,11/21/2025,Sheldon Whitehouse,HSY,"$1,001 - $15,000",Purchase
11,11/06/2025,Lindsey Graham,VWUAX,"$100,001 - $250,000",Purchase
12,11/06/2025,Lindsey Graham,VWUSX,"$100,001 - $250,000",Sale (Full)
13,11/25/2025,David H McCormick,BITB,"$15,001 - $50,000",Purchase
14,11/24/2025,David H McCormick,BITB,"$50,001 - $100,000",Purchase
15,11/21/2025,Tina Smith,HBAN,"$100,001 - $250,000",Sale (Full)
16,07/10/2025,Gary C Peters,OGN,"$1,001 - $15,000",Sale (Full)
17,11/03/2025,Markwayne Mullin,FI,"$15,001 - $50,000",Sale (Full)
18,11/03/2025,Markwayne Mullin,CMG,"$15,001 - $50,000",Sale (Full)
19,11/03/2025,Markwayne Mullin,MSFT,"$250,001 - $500,000",Purchase
20,11/03/2025,Markwayne Mullin,BRK.B,"$15,001 - $50,000",Sale (Full)
21,11/03/2025,Markwayne Mullin,TMUS,"$50,001 - $100,000",Sale (Full)
22,10/07/2025,Thomas H Tuberville,PEP,"$15,001 - $50,000",Sale (Full)
23,10/07/2025,Thomas H Tuberville,OC,"$15,001 - $50,000",Sale (Full)
24,10/07/2025,Thomas H Tuberville,MSFT,"$15,001 - $50,000",Sale (Full)
25,10/07/2025,Thomas H Tuberville,AAPL,"$15,001 - $50,000",Sale (Full)
26,10/07/2025,Thomas H Tuberville,GOOGL,"$15,001 - $50,000",Sale (Full)
27,10/07/2025,Thomas H Tuberville,ORCL,"$15,001 - $50,000",Sale (Full)
28,11/03/2025,John Boozman,TPYP,"$1,001 - $15,000",Sale (Partial)
29,10/03/2025,John Boozman,URNM,"$1,001 - $15,000",Sale (Full)
30,10/03/2025,John Boozman,LITP,"$1,001 - $15,000",Sale (Partial)
31,10/31/2025,John Boozman,OMC,"$1,001 - $15,000",Sale (Partial)
32,10/03/2025,John Boozman,SLV,"$1,001 - $15,000",Sale (Partial)
33,10/02/2025,John Boozman,IQV,"$1,001 - $15,000",Sale (Partial)
34,10/03/2025,John Boozman,EMLP,"$15,001 - $50,000",Sale (Full)
35,10/09/2025,John Boozman,COLPAL,"$1,001 - $15,000",Sale (Full)
36,10/31/2025,John Boozman,META,"$1,001 - $15,000",Purchase
37,10/03/2025,John Boozman,FTGC,"$1,001 - $15,000",Purchase
38,10/03/2025,John Boozman,EIPI,"$15,001 - $50,000",Purchase
39,10/09/2025,John Boozman,COST,"$1,001 - $15,000",Purchase
40,11/11/2025,Rafael E Cruz,GS,"$100,001 - $250,000",Sale (Partial)
41,10/24/2025,Shelley M Capito,LLY,"$1,001 - $15,000",Purchase
42,10/22/2025,Shelley M Capito,MSFT,"$1,001 - $15,000",Sale (Partial)
43,10/21/2025,Shelley M Capito,PAYX,"$1,001 - $15,000",Sale (Partial)
44,10/21/2025,Shelley M Capito,LOW,"$1,001 - $15,000",Sale (Partial)
45,10/20/2025,Shelley M Capito,LOW,"$1,001 - $15,000",Sale (Partial)
46,10/17/2025,Shelley M Capito,COST,"$1,001 - $15,000",Sale (Partial)
47,10/17/2025,Shelley M Capito,CVX,"$1,001 - $15,000",Sale (Partial)
48,10/29/2025,Shelley M Capito,MSFT,"$15,001 - $50,000",Sale (Full)
49,10/29/2025,Shelley M Capito,IBM,"$15,001 - $50,000",Sale (Partial)
50,10/27/2025,Sheldon Whitehouse,PGR,"$15,001 - $50,000",Sale (Full)
51,10/20/2025,Sheldon Whitehouse,NVDA,"$15,001 - $50,000",Sale (Partial)
52,09/23/2025,"Jerry Moran,",GOOG,"$1,001 - $15,000",Sale (Partial)
53,09/23/2025,"Jerry Moran,",BRK.B,"$1,001 - $15,000",Purchase
54,09/23/2025,"Jerry Moran,",GOOG,"$1,001 - $15,000",Sale (Partial)
55,08/28/2025,"James Conley Justice, II",PEBO,"$250,001 - $500,000",Sale (Full)
