date,name,ticker,amount,type
2025-11-10,Markwayne Mullin,COF,"$50,001 - $100,000",Purchase
2025-11-10,Markwayne Mullin,CSX,"$15,001 - $50,000",Sale (Full)
2025-11-10,Markwayne Mullin,ZTS,"$15,001 - $50,000",Sale (Full)
2025-11-10,Markwayne Mullin,PNR,"$15,001 - $50,000",Purchase
2025-11-14,Gary C Peters,CAG,"$1,001 - $15,000",Purchase
2025-11-13,Shelley M Capito,META,"$1,001 - $15,000",Purchase
2025-11-13,Shelley M Capito,PAYX,"$1,001 - $15,000",Sale (Partial)
2025-11-13,Shelley M Capito,LOW,"$1,001 - $15,000",Sale (Partial)
2025-11-21,Sheldon Whitehouse,GH,"$1,001 - $15,000",Purchase
2025-11-21,Sheldon Whitehouse,KO,"$1,001 - $15,000",Purchase
2025-11-21,Sheldon Whitehouse,HSY,"$1,001 - $15,000",Purchase
2025-11-06,Lindsey Graham,VWUAX,"$100,001 - $250,000",Purchase
2025-11-06,Lindsey Graham,VWUSX,"$100,001 - $250,000",Sale (Full)
2025-11-25,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-11-24,David H McCormick,BITB,"$50,001 - $100,000",Purchase
2025-11-21,Tina Smith,HBAN,"$100,001 - $250,000",Sale (Full)
2025-07-10,Gary C Peters,OGN,"$1,001 - $15,000",Sale (Full)
2025-11-03,Markwayne Mullin,FI,"$15,001 - $50,000",Sale (Full)
2025-11-03,Markwayne Mullin,CMG,"$15,001 - $50,000",Sale (Full)
2025-11-03,Markwayne Mullin,MSFT,"$250,001 - $500,000",Purchase
2025-11-03,Markwayne Mullin,TMUS,"$50,001 - $100,000",Sale (Full)
2025-10-07,Thomas H Tuberville,PEP,"$15,001 - $50,000",Sale (Full)
2025-10-07,Thomas H Tuberville,OC,"$15,001 - $50,000",Sale (Full)
2025-10-07,Thomas H Tuberville,MSFT,"$15,001 - $50,000",Sale (Full)
2025-10-07,Thomas H Tuberville,AAPL,"$15,001 - $50,000",Sale (Full)
2025-10-07,Thomas H Tuberville,GOOGL,"$15,001 - $50,000",Sale (Full)
2025-10-07,Thomas H Tuberville,ORCL,"$15,001 - $50,000",Sale (Full)
2025-11-03,John Boozman,TPYP,"$1,001 - $15,000",Sale (Partial)
2025-10-03,John Boozman,URNM,"$1,001 - $15,000",Sale (Full)
